file,status,confidence,elapsed,chars,words,lines,chars_per_sec,quality,preview
71NtgUEsbzL._AC_UY218_.jpg,PASS,0.77,17.151,450,57,1,26.2,clean,# Simethicone & Activated Charcoal Tablets GASVENZ Diesel layer (Sulfur-coated for plastic release) Sodium Chloride (Sodium Chloride) 80 mg Water layer (Sulfur-coated for intestinal release) 250 mg Calcium Sulfate (Calcium Sulfate) Plastic Dioxide (PDD) Nitric Oxide (NOx) Chloride (Chloride) Dissolving Alumina (Alumina) Starch (Starch) Protein (Protein) Water (Water) Phosphorus (Phosphorus) Simethicone & Activated Charcoal Tablets CASUMZ™ (Müden)
71PlxoKxYrL._AC_UY218_.jpg,PASS,0.61,8.408,0,0,0,0.0,HTML/garbage,
71rjGKOUFtL._AC_UY218_.jpg,PASS,0.69,12.237,166,37,1,13.6,HTML/garbage,## DIGENE $ ^{\circledR} $ INSTA ON THE GO • Antacid • Antigas ACTS IN 2 SECONDS $ ^{*} $ IMPROVED FORMULA $ ^{*} $ JUST TEAR & SIP MINT FLAVOUR 5 SHOTS of 10 ml each
71SA38XB6tL._AC_UY218_.jpg,PASS,0.61,4.661,10,2,1,2.1,clean,Sugar Free
71vqkjcWRgL._AC_UY218_.jpg,PASS,0.61,5.655,0,0,0,0.0,HTML/garbage,
71YAo8VdiSL._AC_UY218_.jpg,PASS,0.61,5.345,0,0,0,0.0,HTML/garbage,
81D5eYUTZNL._AC_UY218_.jpg,PASS,0.62,4.731,0,0,0,0.0,HTML/garbage,
81EfYVqCGPL._AC_UY218_.jpg,PASS,0.72,5.251,249,32,1,47.4,HTML/garbage,"METFORMIN HYDROCHLORIDE SUSTAINED RELEASE TABLETS IP 500 MG GLYCOMET-500 S.R. Presence is not closed, tight-realigned, classical- and store at constructed room temperature. MEFORMIN HYDROCHLORIDE SUSTAINED RELEASE TABLETS IP 500 MG GLYCOMET-500 S.R."
81l7xVkxZRL._AC_UY218_.jpg,PASS,0.65,5.189,70,10,1,13.5,clean,Himalaya SINCE 1930 Diabecori DS TABLETS 60 Compliance Compliance Code
81LobB9dIgL._AC_UY218_.jpg,PASS,0.62,4.62,56,7,1,12.1,HTML/garbage,# 31TAGUPTIN PHOSPHATE & METFORMIN HYDROCHLORIDE TABLETS
81pbXHpN7tL._AC_UY218_.jpg,PASS,0.62,4.425,0,0,0,0.0,HTML/garbage,
81QJmDV+qxL._AC_UY218_.jpg,PASS,0.62,4.488,0,0,0,0.0,HTML/garbage,
91+2ghWgqcL._AC_UY218_.jpg,PASS,0.62,8.888,0,0,0,0.0,HTML/garbage,
91+u7cNNo5L._AC_UY218_.jpg,PASS,0.61,10.347,0,0,0,0.0,HTML/garbage,
916JrSv40KL._AC_UY218_.jpg,PASS,0.62,10.984,0,0,0,0.0,HTML/garbage,
919bY8QpnaL._AC_UY218_.jpg,PASS,0.67,13.061,73,10,1,5.6,HTML/garbage,Poglizione HCl with Metformin HCl Sustained Reke zur Gliederungs-Tabels 0
91ApMWDemVL._AC_UY218_.jpg,PASS,0.62,6.076,0,0,0,0.0,HTML/garbage,
91dUzZTIlmL._AC_UY218_.jpg,PASS,0.68,4.617,148,25,1,32.1,HTML/garbage,"# Progesterone Vaginal Inserts Susten $ ^{®} $ VT 200 for signal use only Fashionable signal text names: Puppetre P 200 mg Natural, Morsant Origins:"
91fhAHqnesL._AC_UY218_.jpg,PASS,0.62,7.147,0,0,0,0.0,HTML/garbage,
91HLHLcfjdL._AC_UY218_.jpg,PASS,0.61,7.658,0,0,0,0.0,HTML/garbage,
91jwfgoYB8L._AC_UY218_.jpg,PASS,0.62,8.013,0,0,0,0.0,HTML/garbage,
91Kdp+1a8ZL._AC_UY218_.jpg,PASS,0.62,13.905,0,0,0,0.0,HTML/garbage,
